id,mnemonic,synopsis,description,datatype,units,red_low,yellow_low,yellow_high,red_high,raw_red_low,raw_yellow_low,raw_yellow_high,raw_red_high,enumlist,conversion,parameters,section_id,section_name,archive
123,cmd_msec_07,Command History Log Entry #7 Time Tag (Milliseconds),"This field contains the number of milliseconds into the day specified by tlm point CMD_DAY_07, the 8th most recently logged command.
 Note: This telemetry Item will be reset to an initial value as a result of sending the CLRLOG command to clear the Command Log.",UINT32,DN,,,,,,,,,,,,4,cmd_history,1
124,cmd_msec_08,Command History Log Entry #8 Time Tag (Milliseconds),"This field contains the number of milliseconds into the day specified by tlm point CMD_DAY_08, the 9th most recently logged command.
 Note: This telemetry Item will be reset to an initial value as a result of sending the CLRLOG command to clear the Command Log.",UINT32,DN,,,,,,,,,,,,4,cmd_history,1
125,cmd_msec_09,Command History Log Entry #9 Time Tag (Milliseconds),"This field contains the number of milliseconds into the day specified by tlm point CMD_DAY_09, the 10th most recently logged command.
 Note: This telemetry Item will be reset to an initial value as a result of sending the CLRLOG command to clear the Command Log.",UINT32,DN,,,,,,,,,,,,4,cmd_history,1
126,cmd_opcode_00,Command History List (Opcode #0),"The most recently logged command opcode.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT8,DN,,,,,,,,,,,,4,cmd_history,1
127,cmd_opcode_01,Command History List (Opcode #1),"The opcode of the 2nd most recent command logged.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT8,DN,,,,,,,,,,,,4,cmd_history,1
128,cmd_opcode_02,Command History List (Opcode #2),"The opcode of the 3rd most recent command logged.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT8,DN,,,,,,,,,,,,4,cmd_history,1
129,cmd_opcode_03,Command History List (Opcode #3),"The opcode of the 4th most recent command logged.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT8,DN,,,,,,,,,,,,4,cmd_history,1
130,cmd_opcode_04,Command History List (Opcode #4),"The opcode of the 5th most recent command logged.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT8,DN,,,,,,,,,,,,4,cmd_history,1
131,cmd_opcode_05,Command History List (Opcode #5),"The opcode of the 6th most recent command logged.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT8,DN,,,,,,,,,,,,4,cmd_history,1
132,cmd_opcode_06,Command History List (Opcode #6),"The opcode of the 7th most recent command logged.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT8,DN,,,,,,,,,,,,4,cmd_history,1
133,cmd_opcode_07,Command History List (Opcode #7),"The opcode of the 8th most recent command logged.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT8,DN,,,,,,,,,,,,4,cmd_history,1
134,cmd_opcode_08,Command History List (Opcode #8),"The opcode of the 9th most recent command logged.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT8,DN,,,,,,,,,,,,4,cmd_history,1
135,cmd_opcode_09,Command History List (Opcode #9),"The opcode of the 10th most recent command logged.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT8,DN,,,,,,,,,,,,4,cmd_history,1
136,cmd_status_00,Command History List (Status #0),"The event ID for the command validation: CMD_ACCEPTED if all parameters were valid.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,4,cmd_history,1
137,cmd_status_01,Command History List (Status #1),"The event ID for the command validation: CMD_ACCEPTED if all parameters were valid.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,4,cmd_history,1
138,cmd_status_02,Command History List (Status #2),"The event ID for the command validation: CMD_ACCEPTED if all parameters were valid.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,4,cmd_history,1
139,cmd_status_03,Command History List (Status #3),"The event ID for the command validation: CMD_ACCEPTED if all parameters were valid.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,4,cmd_history,1
140,cmd_status_04,Command History List (Status #4),"The event ID for the command validation: CMD_ACCEPTED if all parameters were valid.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,4,cmd_history,1
141,cmd_status_05,Command History List (Status #5),"The event ID for the command validation: CMD_ACCEPTED if all parameters were valid.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,4,cmd_history,1
142,cmd_status_06,Command History List (Status #6),"The event ID for the command validation: CMD_ACCEPTED if all parameters were valid.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,4,cmd_history,1
143,cmd_status_07,Command History List (Status #7),"The event ID for the command validation: CMD_ACCEPTED if all parameters were valid.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,4,cmd_history,1
144,cmd_status_08,Command History List (Status #8),"The event ID for the command validation: CMD_ACCEPTED if all parameters were valid.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,4,cmd_history,1
145,cmd_status_09,Command History List (Status #9),"The event ID for the command validation: CMD_ACCEPTED if all parameters were valid.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,4,cmd_history,1
146,cmd_usec_00,Command History Log Entry #0 Time Tag (Microseconds),"This field contains the number of microseconds since the last full millisecond into the day specified by tlm point CMD_DAY_0, the most
 recently logged command.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT16,DN,,,,,,,,,,,,4,cmd_history,1
147,cmd_usec_01,Command History Log Entry #1 Time Tag (Microseconds),"This field contains the number of microseconds since the last full millisecond into the day specified by tlm point CMD_DAY_01, the 2nd most
 recently logged command.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT16,DN,,,,,,,,,,,,4,cmd_history,1
148,cmd_usec_02,Command History Log Entry #2 Time Tag (Microseconds),"This field contains the number of microseconds since the last full millisecond into the day specified by tlm point CMD_DAY_02, the 3rd most
 recently logged command.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT16,DN,,,,,,,,,,,,4,cmd_history,1
149,cmd_usec_03,Command History Log Entry #3 Time Tag (Microseconds),"This field contains the number of microseconds since the last full millisecond into the day specified by tlm point CMD_DAY_03, the 4th most
 recently logged command.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT16,DN,,,,,,,,,,,,4,cmd_history,1
150,cmd_usec_04,Command History Log Entry #4 Time Tag (Microseconds),"This field contains the number of microseconds since the last full millisecond into the day specified by tlm point CMD_DAY_04, the 5th most
 recently logged command.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT16,DN,,,,,,,,,,,,4,cmd_history,1
151,cmd_usec_05,Command History Log Entry #5 Time Tag (Microseconds),"This field contains the number of microseconds since the last full millisecond into the day specified by tlm point CMD_DAY_05, the 6th most
 recently logged command.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT16,DN,,,,,,,,,,,,4,cmd_history,1
152,cmd_usec_06,Command History Log Entry #6 Time Tag (Microseconds),"This field contains the number of microseconds since the last full millisecond into the day specified by tlm point CMD_DAY_06, the 7th most
 recently logged command.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT16,DN,,,,,,,,,,,,4,cmd_history,1
153,cmd_usec_07,Command History Log Entry #7 Time Tag (Microseconds),"This field contains the number of microseconds since the last full millisecond into the day specified by tlm point CMD_DAY_07, the 8th most
 recently logged command.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT16,DN,,,,,,,,,,,,4,cmd_history,1
154,cmd_usec_08,Command History Log Entry #8 Time Tag (Microseconds),"This field contains the number of microseconds since the last full millisecond into the day specified by tlm point CMD_DAY_08, the 9th most
 recently logged command.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT16,DN,,,,,,,,,,,,4,cmd_history,1
155,cmd_usec_09,Command History Log Entry #9 Time Tag (Microseconds),"This field contains the number of microseconds since the last full millisecond into the day specified by tlm point CMD_DAY_09, the 10th
 most recently logged command.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT16,DN,,,,,,,,,,,,4,cmd_history,1
156,cmdfifo_lastwrsz,Number of words written to the Cmd FIFO during last write,The number of words written by the ICE FSW to the SMC FPGA command FIFO during the most recent write operation.,UINT16,DN,,,,,,,,,,,,28,sma_info2,1
157,cmds_accepted,Number of commands FSW has accepted since last boot,Note: This telemetry Item will be reset to an initial value as a result of the GSE_CLRLOG Command.,UINT32,DN,,,,,,,,,,,,7,crit_tlm,1
158,cmds_rejected,Number of Commands FSW has rejected since last boot,Note: This telemetry Item will be reset to an initial value as a result of the GSE_CLRLOG Command.,UINT32,DN,,,,,,,,,,,,7,crit_tlm,1
159,cpu_sbe_cnt,CPU single bit error counter,This item indicates the number of single-bit errors detected by the UT699 while scrubbing the RAM.,UINT16,DN,,,1,1,,,,,,,,16,util_info,1
160,crc_img_addr,ICE Active Image address,Address in RAM from where the CRC was calculated.,UINT32,DN,,,,,,,,,,,,23,boot_info,1
161,crit_cmd_ena,Critical commanding enabled flag,Flag denoting if commands deemed critical are allowed.,ENUM,DN,,,,,,,,,"DISABLED:0, ENABLED:1",,,8,tbl_info,1
162,crittlmnumsa,Number of critical telemetry subaddresses,This telemetry item reports the number of subaddress for critical telemetry from the 1553 config table.,UINT8,DN,,,,,,,,,,,,10,1553_tlm,1
163,crittlmsa1,First subaddress for critical telemetry,This telemetry item reports the first subaddress for critical telemetry from the 1553 config table.,UINT8,DN,,,,,,,,,,,,10,1553_tlm,1
164,csm_active_tbl_id,ID of active CSM command table,Shows the Table ID of the active Command Sequence (CSM).,UINT8,DN,,,,,,,,,,,,9,cmd_tt_info,1
165,csm_bypass_cnt,Number of bypassed CSM commands,Number of CSM commands that have been bypassed.,UINT16,DN,,,,,,,,,,,,9,cmd_tt_info,1
166,csm_procd_cnt,Number of processed CSM commands,Number of CSM commands that have been processed.,UINT16,DN,,,,,,,,,,,,9,cmd_tt_info,1
167,csm_routed_cnt,Number of routed CSM commands,Number of CSM commands that have been routed.,UINT16,DN,,,,,,,,,,,,9,cmd_tt_info,1
168,csm_state,Current state of the Command Sequence Memory CSU,Current state of the Command Sequence Memory CSU,ENUM,DN,,,,,,,,,"IDLE:0, RUN_PRI:1, RUN_SEC:2",,,9,cmd_tt_info,1
169,csm_tbl_index,Index into active CSM command table,The index into the active CSM command table,UINT16,DN,,,,,,,,,,,,9,cmd_tt_info,1
170,curr_mirror_step,The current mirror step being collected,This telemetry item reports the value of the FPE FPGA CURRENT_MIRROR_STEP register.,UINT16,DN,,,,,,,,,,,,24,fpe_tlm,1
171,current_coadd,The current co-add frame being collected,This telemetry item reports the value of the FPE FPGA CURRENT_COADD register.,UINT8,DN,,,,,,,,,,,,24,fpe_tlm,1
172,dda_tlm,Telemetry data for DDA voltage,This telemetry item reports analog data from the Focal Plane Electronics. Telemetry data for DDA voltage,UINT16,V,17.58,17.95,19.06,19.43,,,,,,poly1,0 0.0088623,25,fpe_analog_tlm,1
173,dda_tlm_valid,DDA_TLM data validity flag (0 = valid; 1 = stale),DDA_TLM data validity flag (0 = valid; 1 = stale),ENUM,DN,,,,,,,,,"OK:0, STALE:1:r",,,25,fpe_analog_tlm,1
174,ddb_tlm,Telemetry data for DDB voltage,This telemetry item reports analog data from the Focal Plane Electronics. Telemetry data for DDB voltage,UINT16,V,17.58,17.95,19.06,19.43,,,,,,poly1,0 0.0088623,25,fpe_analog_tlm,1
175,ddb_tlm_valid,DDB_TLM data validity flag (0 = valid; 1 = stale),DDB_TLM data validity flag (0 = valid; 1 = stale),ENUM,DN,,,,,,,,,"OK:0, STALE:1:r",,,25,fpe_analog_tlm,1
176,ddc_tlm,Telemetry data for DDC voltage,This telemetry item reports analog data from the Focal Plane Electronics. Telemetry data for DDC voltage,UINT16,V,17.58,17.95,19.06,19.43,,,,,,poly1,0 0.0088623,25,fpe_analog_tlm,1
177,ddc_tlm_valid,DDC_TLM data validity flag (0 = valid; 1 = stale),DDC_TLM data validity flag (0 = valid; 1 = stale),ENUM,DN,,,,,,,,,"OK:0, STALE:1:r",,,25,fpe_analog_tlm,1
178,ddd_tlm,Telemetry data for DDD voltage,This telemetry item reports analog data from the Focal Plane Electronics. Telemetry data for DDD voltage,UINT16,V,17.58,17.95,19.06,19.43,,,,,,poly1,0 0.0088623,25,fpe_analog_tlm,1
179,ddd_tlm_valid,DDD_TLM data validity flag (0 = valid; 1 = stale),DDD_TLM data validity flag (0 = valid; 1 = stale),ENUM,DN,,,,,,,,,"OK:0, STALE:1:r",,,25,fpe_analog_tlm,1
180,delay_frames,Number of delay frames between each mirror step,"This telemetry item reports the value of the FPE FPGA DELAY_FRAMES registers. It determines the number of delay frames between each
 swath during IMAGING mode.",UINT8,DN,,,,,,,,,,,,24,fpe_tlm,1
181,dmp_active_image,ICE Active Image,"This telemetry item reports the active image selection (the value of the SCIO BOOT_IMG field from the SCIO_STAT register). This is the
 image that was booted during the most recent reset of the ICE.
 0 = Image 0
 1 = Image 1",ENUM,DN,,,,,,,,,"IMAGE_0:0, IMAGE_1:1",,,11,table_dump,1
182,dmp_boot_crc,ICE Active Image CRC,CRC value calculated by the BOOTROM for the active FSW image currently running.,UINT32,DN,,,,,,,,,,,,11,table_dump,1
183,dmp_data,Variable-Length Memory Dump Data,"This item is output only to COSMOS telemetry file, FSW does not know about this item and it is not output to any FSW file or the COSMOS
 tables in tlm_rdr_tbls_ctdb.txt file.",UINT8[],DN,,,,,,,,,,,,11,table_dump,1
184,dmp_fsw_mode,Current mode of the FSW,Current mode of the FSW.,ENUM,DN,,,,,,,,,"MODE_INITIALIZE:1, MODE_SAFE:2, MODE_OPERATE:4",,,11,table_dump,1
185,dmp_mem_type,Table dump memory type (RAM or NVM),Table dump memory type (RAM or NVM),ENUM,DN,,,,,,,,,"RAM:0, NVM:17",,,11,table_dump,1
186,dmp_offset,Table dump offset in bytes,Offset is in bytes from the beginning of the table.,UINT32,DN,,,,,,,,,,,,11,table_dump,1
187,dmp_size,Table Dump size in bytes,The maximum download size is restricted by the fact that Memory Dump RDRs cannot be greater than 2048 CCSDS packets * 1024 bytes.,UINT32,DN,,,,,,,,,,,,11,table_dump,1
188,dmp_tbl_cnt,Count of tables dumped,Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.,UINT16,DN,,,,,,,,,,,,11,table_dump,1
189,dmp_tbl_id,Table ID of last table dumped,Table ID of last table dumped,UINT8,DN,,,,,,,,,,,,11,table_dump,1
190,ev_byp_cnt,Count of Event Actions Responses that were bypassed.,Count of Event Actions Responses that were bypassed.,UINT32,DN,,,,,,,,,,,,5,event_history,1
191,ev_code_00,Most Recent Fault List (Fault Code #1),"The most recently logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,5,event_history,1
192,ev_code_01,Most Recent Fault List (Fault Code #1),"The 2nd most recently logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,5,event_history,1
193,ev_code_02,Most Recent Fault List (Fault Code #2),"The 3rd most recently logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,5,event_history,1
194,ev_code_03,Most Recent Fault List (Fault Code #3),"The 4th most recently logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,5,event_history,1
195,ev_code_04,Most Recent Fault List (Fault Code #4),"The 5th most recently logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,5,event_history,1
196,ev_code_05,Most Recent Fault List (Fault Code #5),"The 6th most recently logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,5,event_history,1
197,ev_code_06,Most Recent Fault List (Fault Code #6),"The 7th most recently logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,5,event_history,1
198,ev_code_07,Most Recent Fault List (Fault Code #7),"The 8th most recently logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,5,event_history,1
199,ev_code_08,Most Recent Fault List (Fault Code #8),"The 9th most recently logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,5,event_history,1
200,ev_code_09,Most Recent Fault List (Fault Code #9),"The 10th most recently logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,5,event_history,1
201,ev_file_00,Most Recent Fault List (File #0),"The file name pointer in RAM associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,6,event_history_2,1
202,ev_file_01,Most Recent Fault List (File #1),"The file name pointer in RAM associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,6,event_history_2,1
203,ev_file_02,Most Recent Fault List (File #2),"The file name pointer in RAM associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,6,event_history_2,1
204,ev_file_03,Most Recent Fault List (File #3),"The file name pointer in RAM associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,6,event_history_2,1
205,ev_file_04,Most Recent Fault List (File #4),"The file name pointer in RAM associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,6,event_history_2,1
206,ev_file_05,Most Recent Fault List (File #5),"The file name pointer in RAM associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,6,event_history_2,1
207,ev_file_06,Most Recent Fault List (File #6),"The file name pointer in RAM associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,6,event_history_2,1
208,ev_file_07,Most Recent Fault List (File #7),"The file name pointer in RAM associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,6,event_history_2,1
209,ev_file_08,Most Recent Fault List (File #8),"The file name pointer in RAM associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,6,event_history_2,1
210,ev_file_09,Most Recent Fault List (File #9),"The file name pointer in RAM associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,6,event_history_2,1
211,ev_line_00,Most Recent Fault List (Line No. #1),"The file line number associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,6,event_history_2,1
212,ev_line_01,Most Recent Fault List (Line No. #2),"The file line number associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,6,event_history_2,1
213,ev_line_02,Most Recent Fault List (Line No. #3),"The file line number associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,6,event_history_2,1
214,ev_line_03,Most Recent Fault List (Line No. #4),"The file line number associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,6,event_history_2,1
215,ev_line_04,Most Recent Fault List (Line No. #5),"The file line number associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,6,event_history_2,1
216,ev_line_05,Most Recent Fault List (Line No. #6),"The file line number associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,6,event_history_2,1
217,ev_line_06,Most Recent Fault List (Line No. #7),"The file line number associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,6,event_history_2,1
218,ev_line_07,Most Recent Fault List (Line No. #8),"The file line number associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,6,event_history_2,1
219,ev_line_08,Most Recent Fault List (Line No. #9),"The file line number associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,6,event_history_2,1
220,ev_line_09,Most Recent Fault List (Line No. #10),"The file line number associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,6,event_history_2,1
221,ev_param_00,Most Recent Fault List (Parameter #0),"The 32-bit parameter associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,5,event_history,1
222,ev_param_01,Most Recent Fault List (Parameter #1),"The 32-bit parameter associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,5,event_history,1
223,ev_param_02,Most Recent Fault List (Parameter #2),"The 32-bit parameter associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,5,event_history,1
224,ev_param_03,Most Recent Fault List (Parameter #3),"The 32-bit parameter associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,5,event_history,1
225,ev_param_04,Most Recent Fault List (Parameter #4),"The 32-bit parameter associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,5,event_history,1
226,ev_param_05,Most Recent Fault List (Parameter #5),"The 32-bit parameter associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,5,event_history,1
227,ev_param_06,Most Recent Fault List (Parameter #6),"The 32-bit parameter associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,5,event_history,1
228,ev_param_07,Most Recent Fault List (Parameter #7),"The 32-bit parameter associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,5,event_history,1
229,ev_param_08,Most Recent Fault List (Parameter #8),"The 32-bit parameter associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,5,event_history,1
230,ev_param_09,Most Recent Fault List (Parameter #9),"The 32-bit parameter associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT32,DN,,,,,,,,,,,,5,event_history,1
231,ev_seq_00,Most Recent Fault List (Seq No. #0),"The sequence number associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.",UINT16,DN,,,,,,,,,,,,5,event_history,1
232,ev_seq_01,Most Recent Fault List (Seq No. #1),"The sequence number associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLRLOG Command.",UINT16,DN,,,,,,,,,,,,5,event_history,1
233,ev_seq_02,Most Recent Fault List (Seq No. #2),"The sequence number associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLRLOG Command.",UINT16,DN,,,,,,,,,,,,5,event_history,1
234,ev_seq_03,Most Recent Fault List (Seq No. #3),"The sequence number associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLRLOG Command.",UINT16,DN,,,,,,,,,,,,5,event_history,1
235,ev_seq_04,Most Recent Fault List (Seq No. #4),"The sequence number associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLRLOG Command.",UINT16,DN,,,,,,,,,,,,5,event_history,1
236,ev_seq_05,Most Recent Fault List (Seq No. #5),"The sequence number associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLRLOG Command.",UINT16,DN,,,,,,,,,,,,5,event_history,1
237,ev_seq_06,Most Recent Fault List (Seq No. #6),"The sequence number associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLRLOG Command.",UINT16,DN,,,,,,,,,,,,5,event_history,1
238,ev_seq_07,Most Recent Fault List (Seq No. #7),"The sequence number associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLRLOG Command.",UINT16,DN,,,,,,,,,,,,5,event_history,1
239,ev_seq_08,Most Recent Fault List (Seq No. #8),"The sequence number associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLRLOG Command.",UINT16,DN,,,,,,,,,,,,5,event_history,1
240,ev_seq_09,Most Recent Fault List (Seq No. #9),"The sequence number associated with the logged event ID.
 Note: This telemetry Item will be reset to an initial value as a result of the CLRLOG Command.",UINT16,DN,,,,,,,,,,,,5,event_history,1
241,ev_unrep_cnt,Number of unreported faults,"This is the number of faults that went unreported due to the Fault Handler receiving faults too quickly. This value would increment under
 extreme conditions where the FSW is generating a flood of errors that cannot be processed quickly enough.NOTE:",UINT32,DN,,,,,,,,,,,,5,event_history,1
242,event_next_seq,Next event sequence number,Note: This telemetry Item will be reset to an initial value as a result of the CLR_LOG Command.,UINT32,DN,,,,,,,,,,,,7,crit_tlm,1
243,event_resp_state,Event Action Response state,Event Action Response state,ENUM,DN,,,,,,,,,"DISABLED:13, ENABLED:14",,,7,crit_tlm,1
244,event_unrep,Counter of unreported events,Counter of unreported events,UINT16,DN,,,,,,,,,,,,7,crit_tlm,1
245,fpe_32v_tlm,Telemetry data for 32VA voltage,This telemetry item reports analog data from the Focal Plane Electronics. Telemetry data for 32VA voltage,UINT16,V,30.4,31.04,32.96,33.6,,,,,,poly1,0 0.0088623,25,fpe_analog_tlm,1
246,fpe_32v_valid,Pos 32V TLM data validity flag (0 = valid; 1 = stale),Neg 5V TLM data validity flag (0 = valid; 1 = stale),ENUM,DN,,,,,,,,,"OK:0, STALE:1:r",,,25,fpe_analog_tlm,1
247,fpe_cmded_mode,Last commanded mode of the Focal Plane Electronics,This telemetry item reports the value of the COMMANDED_MODE field from the FPE FPGA MODE register,ENUM,DN,,,,,,,,,"OFF:0, INITIALIZATION:1, IDLE:2, IMAGING:3",,,24,fpe_tlm,1
248,fpe_current_mode,Current mode of the Focal Plane Electronics,This telemetry item reports the value of the CURRENT_MODE field from the FPE FPGA MODE register,ENUM,DN,,,,,,,,,"OFF:0, INITIALIZATION:1, IDLE:2, IMAGING:3",,,24,fpe_tlm,1
249,fpe_diag_enable,FPE FPGA Diagnostic enable register,"FPE FPGA DIAG_ENABLE Register
 Bit 9: Unused
 Bit 8: SIM_EN_STATUS
 Bits 7-0: DIAG_KEY",UINT16,DN,,,,,,,,,,,,24,fpe_tlm,1
